Statement,Speaker,Rating,Date,BinaryTarget
Scholarships and financial aid allow talented students to pursue higher studies.,Vikas Menon,Medium,2024-11-16,0
The use of artificial intelligence is transforming modern education systems.,Mohit Agarwal,High,2025-08-16,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Neha Verma,High,2025-03-10,1
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Medium,2025-09-16,1
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,Medium,2024-12-02,1
Modern classrooms are adopting smart boards and interactive learning tools.,Arun Patel,Medium,2025-07-08,0
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,Medium,2025-09-20,0
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,Low,2025-03-31,1
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,High,2025-06-17,1
Teachers play a key role in shaping the minds and values of future generations.,Prof. Rajesh Kumar,Low,2025-03-23,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Medium,2025-08-04,1
Modern classrooms are adopting smart boards and interactive learning tools.,Anita Desai,Low,2025-01-09,1
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,Low,2025-01-30,1
"Education should focus on creativity and critical thinking, not just memorization.",Mohit Agarwal,High,2025-03-17,0
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,High,2025-03-26,1
The use of artificial intelligence is transforming modern education systems.,Rita Sahu,Low,2024-12-16,1
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,Medium,2025-08-14,0
"Education should focus on creativity and critical thinking, not just memorization.",Sandeep Reddy,High,2024-11-12,0
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,Medium,2025-07-02,0
Students learn better when education is connected to real-life applications.,Sandeep Reddy,High,2025-05-31,0
Teachers play a key role in shaping the minds and values of future generations.,Arun Patel,Low,2025-05-18,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,Medium,2025-01-28,0
Digital libraries have replaced traditional ones in many universities.,Kiran Bhatia,Medium,2024-12-27,0
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,High,2025-02-15,1
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,Medium,2025-01-15,1
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,High,2024-11-22,0
Modern classrooms are adopting smart boards and interactive learning tools.,Arun Patel,Medium,2025-01-14,1
Online learning has made education accessible to students in remote areas.,Anita Desai,Low,2024-12-10,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,Low,2024-11-13,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,High,2025-08-21,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,Low,2024-11-14,0
Digital libraries have replaced traditional ones in many universities.,Arun Patel,Low,2025-01-17,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Vikas Menon,High,2025-08-19,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,Low,2025-03-19,0
Modern classrooms are adopting smart boards and interactive learning tools.,Arun Patel,Low,2025-02-14,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,Medium,2024-10-09,0
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,High,2024-11-09,0
Online learning has made education accessible to students in remote areas.,Sandeep Reddy,Low,2025-07-24,0
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,High,2024-11-03,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,Low,2025-01-16,0
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,High,2025-01-31,1
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,Medium,2024-12-21,1
Teachers play a key role in shaping the minds and values of future generations.,Dr. Neha Verma,Low,2025-04-08,1
Digital libraries have replaced traditional ones in many universities.,Arun Patel,Medium,2025-04-19,0
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,Low,2024-10-27,0
Scholarships and financial aid allow talented students to pursue higher studies.,Prof. Rajesh Kumar,Medium,2025-03-27,1
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Medium,2024-10-26,1
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,Low,2025-06-13,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,Medium,2024-11-22,0
"Education should focus on creativity and critical thinking, not just memorization.",Dr. Neha Verma,High,2025-07-12,1
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,High,2025-01-24,0
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,Low,2025-09-19,0
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,Low,2024-12-28,1
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,Medium,2025-01-03,0
Students learn better when education is connected to real-life applications.,Mohit Agarwal,Medium,2025-03-10,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2024-12-31,1
Students learn better when education is connected to real-life applications.,Arun Patel,Low,2025-03-04,1
Students learn better when education is connected to real-life applications.,Mohit Agarwal,Low,2025-05-13,0
Scholarships and financial aid allow talented students to pursue higher studies.,Sandeep Reddy,Medium,2025-06-21,0
Digital libraries have replaced traditional ones in many universities.,Dr. Meera Sharma,Low,2025-03-20,1
Modern classrooms are adopting smart boards and interactive learning tools.,Prof. Rajesh Kumar,Low,2025-10-05,1
Online learning has made education accessible to students in remote areas.,Anita Desai,High,2025-01-01,1
Teachers play a key role in shaping the minds and values of future generations.,Mohit Agarwal,Low,2025-05-14,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2025-01-05,0
"Education should focus on creativity and critical thinking, not just memorization.",Mohit Agarwal,High,2024-12-29,1
Students learn better when education is connected to real-life applications.,Anita Desai,Medium,2025-01-01,1
The use of artificial intelligence is transforming modern education systems.,Anita Desai,Medium,2025-02-19,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,High,2025-04-01,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Mohit Agarwal,Low,2025-02-21,1
Scholarships and financial aid allow talented students to pursue higher studies.,Sandeep Reddy,High,2025-02-03,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,High,2025-07-05,1
"Education should focus on creativity and critical thinking, not just memorization.",Dr. Meera Sharma,Low,2024-11-16,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Low,2025-09-23,0
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,High,2024-12-18,1
Teachers play a key role in shaping the minds and values of future generations.,Dr. Neha Verma,Low,2024-10-10,1
Teachers play a key role in shaping the minds and values of future generations.,Vikas Menon,Low,2024-12-13,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Arun Patel,Low,2025-08-26,1
"Education should focus on creativity and critical thinking, not just memorization.",Dr. Meera Sharma,Medium,2024-11-29,1
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,Medium,2025-03-20,1
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,Low,2025-04-10,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Arun Patel,Low,2025-01-12,0
"Education should focus on creativity and critical thinking, not just memorization.",Prof. Rajesh Kumar,High,2025-05-12,1
Scholarships and financial aid allow talented students to pursue higher studies.,Prof. Rajesh Kumar,Medium,2025-04-20,1
Vocational training helps students develop practical skills for real-world jobs.,Sandeep Reddy,High,2025-06-26,0
"Education should focus on creativity and critical thinking, not just memorization.",Dr. Neha Verma,Medium,2025-06-11,1
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,High,2025-02-15,1
Digital libraries have replaced traditional ones in many universities.,Kiran Bhatia,High,2024-11-12,0
Online learning has made education accessible to students in remote areas.,Dr. Meera Sharma,Medium,2025-05-16,0
Teachers play a key role in shaping the minds and values of future generations.,Arun Patel,High,2024-11-18,1
The use of artificial intelligence is transforming modern education systems.,Anita Desai,Low,2025-03-31,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,High,2024-12-01,0
Digital libraries have replaced traditional ones in many universities.,Anita Desai,Medium,2025-03-15,1
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,Medium,2024-10-12,1
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,High,2025-01-21,1
Modern classrooms are adopting smart boards and interactive learning tools.,Anita Desai,Medium,2025-05-19,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Neha Verma,Low,2025-08-26,0
"Education should focus on creativity and critical thinking, not just memorization.",Vikas Menon,Medium,2025-01-26,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Medium,2025-03-02,0
Scholarships and financial aid allow talented students to pursue higher studies.,Kiran Bhatia,High,2024-10-25,0
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,High,2025-09-17,1
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,High,2025-08-12,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Low,2025-04-27,1
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,High,2024-11-10,0
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,Low,2025-08-19,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Medium,2025-02-12,1
Vocational training helps students develop practical skills for real-world jobs.,Prof. Rajesh Kumar,Medium,2025-01-24,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Neha Verma,High,2025-06-08,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Dr. Neha Verma,Low,2025-07-14,1
Teachers play a key role in shaping the minds and values of future generations.,Anita Desai,High,2025-06-16,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Sandeep Reddy,Medium,2025-01-02,0
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,High,2025-06-07,1
Teachers play a key role in shaping the minds and values of future generations.,Vikas Menon,Medium,2025-05-20,1
Students learn better when education is connected to real-life applications.,Dr. Neha Verma,Medium,2025-02-06,1
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,High,2024-11-12,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Meera Sharma,Medium,2025-05-12,1
Modern classrooms are adopting smart boards and interactive learning tools.,Sandeep Reddy,Medium,2025-08-06,1
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,High,2025-09-07,0
Students learn better when education is connected to real-life applications.,Arun Patel,Low,2025-05-08,1
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,High,2025-04-23,1
Students learn better when education is connected to real-life applications.,Rita Sahu,Medium,2025-07-03,1
Teachers play a key role in shaping the minds and values of future generations.,Vikas Menon,High,2025-07-06,1
Online learning has made education accessible to students in remote areas.,Mohit Agarwal,Medium,2025-07-26,0
Modern classrooms are adopting smart boards and interactive learning tools.,Mohit Agarwal,Medium,2025-07-12,1
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,High,2025-10-06,1
The use of artificial intelligence is transforming modern education systems.,Mohit Agarwal,High,2025-08-03,0
Students learn better when education is connected to real-life applications.,Dr. Neha Verma,Medium,2025-09-18,1
Students learn better when education is connected to real-life applications.,Anita Desai,Low,2025-06-11,1
Digital libraries have replaced traditional ones in many universities.,Anita Desai,Low,2025-06-03,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Low,2024-10-31,1
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,High,2024-11-16,0
The use of artificial intelligence is transforming modern education systems.,Anita Desai,High,2025-01-02,0
Modern classrooms are adopting smart boards and interactive learning tools.,Prof. Rajesh Kumar,Low,2025-09-08,0
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,High,2025-03-19,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,High,2025-03-17,0
"Education should focus on creativity and critical thinking, not just memorization.",Arun Patel,High,2025-05-22,0
Online learning has made education accessible to students in remote areas.,Dr. Meera Sharma,Medium,2025-06-21,1
The use of artificial intelligence is transforming modern education systems.,Rita Sahu,Medium,2025-09-06,1
Digital libraries have replaced traditional ones in many universities.,Prof. Rajesh Kumar,Low,2025-09-22,1
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,Low,2025-02-26,1
The use of artificial intelligence is transforming modern education systems.,Anita Desai,High,2025-03-30,1
"Education should focus on creativity and critical thinking, not just memorization.",Vikas Menon,Low,2025-02-04,1
Vocational training helps students develop practical skills for real-world jobs.,Arun Patel,High,2025-01-04,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Rita Sahu,Medium,2024-11-19,0
Teachers play a key role in shaping the minds and values of future generations.,Kiran Bhatia,Medium,2025-06-13,0
The use of artificial intelligence is transforming modern education systems.,Mohit Agarwal,Medium,2025-04-07,1
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Medium,2024-12-07,1
